n r res t
26 1000 8 447046
27 1000 5 226649
28 1000 6 166573
29 1000 6 146273
30 1000 7 629192
1 10 0 65
2 10 1 138
3 10 0 111
4 10 2 208
5 10 2 375
6 10 3 684
7 10 1 303
8 10 3 500
9 10 2 1321
10 10 2 593
11 10 2 806
12 10 1 716
13 10 2 1146
14 10 2 1990
15 10 3 2601
16 10 2 2616
17 10 3 4565
18 10 3 4619
19 10 3 2680
20 10 1 832
21 10 2 2183
22 10 2 1698
23 10 3 1330
24 10 3 2903
25 10 3 5193
26 10 4 6837
27 10 2 3073
28 10 4 14406
29 10 3 7087
30 10 3 4373
1 20 1 55
2 20 1 115
3 20 3 233
4 20 2 265
5 20 2 412
6 20 2 274
7 20 2 619
8 20 3 1734
9 20 2 452
10 20 1 592
11 20 2 1098
12 20 2 1481
13 20 3 1826
14 20 4 6968
15 20 3 2293
16 20 4 7656
17 20 4 7327
18 20 3 4340
19 20 3 3782
20 20 4 11926
21 20 3 9604
22 20 5 11891
23 20 2 4520
24 20 7 25177
25 20 6 44093
26 20 5 39773
27 20 4 23345
28 20 6 94591
29 20 3 16081
30 20 4 15343
1 50 1 53
2 50 1 123
3 50 2 216
4 50 3 329
5 50 2 627
6 50 3 955
7 50 3 1193
8 50 3 1652
9 50 5 5452
10 50 4 3669
11 50 6 13666
12 50 5 11022
13 50 5 9891
14 50 4 9705
15 50 4 24487
16 50 6 27849
17 50 5 27302
18 50 6 49511
19 50 6 64325
20 50 3 16303
21 50 7 192840
22 50 6 104213
23 50 5 81762
24 50 6 411975
25 50 8 403955
26 50 7 246974
27 50 5 139061
28 50 8 1186359
29 50 7 264516
30 50 7 419678
1 75 1 82
2 75 2 147
3 75 2 205
4 75 3 328
5 75 4 843
6 75 5 1596
7 75 4 2262
8 75 2 1587
9 75 4 4243
10 75 5 3379
11 75 5 14470
12 75 3 8028
13 75 6 18711
14 75 4 9950
15 75 7 63891
16 75 5 31212
17 75 8 48860
18 75 7 174301
19 75 6 62185
20 75 7 188642
21 75 8 124388
22 75 7 49894
23 75 6 175903
24 75 7 292205
25 75 5 122406
26 75 7 314237
27 75 7 260315
28 75 5 81203
29 75 8 359106
30 75 6 289653
1 100 1 62
2 100 2 124
3 100 2 229
4 100 2 402
5 100 2 634
6 100 5 1676
7 100 2 926
8 100 4 2602
9 100 3 2789
10 100 4 4444
11 100 4 10048
12 100 6 12871
13 100 3 5531
14 100 5 19427
15 100 5 14997
16 100 6 30002
17 100 6 68766
18 100 8 104593
19 100 6 66236
20 100 6 76711
21 100 6 93253
22 100 6 180972
23 100 8 489493
24 100 6 187911
25 100 6 163771
26 100 8 606866
27 100 7 649924
28 100 7 461245
29 100 8 686618
30 100 11 4198266
1 1000 1 41
2 1000 1 112
3 1000 2 266
4 1000 2 308
5 1000 4 1047
6 1000 3 919
7 1000 5 3084
8 1000 4 2601
9 1000 4 5019
10 1000 5 9437
11 1000 6 8435
12 1000 4 8199
13 1000 4 13371
14 1000 4 12192
15 1000 4 32847
16 1000 6 31222
17 1000 6 65143
18 1000 6 37860
19 1000 8 155395
20 1000 6 106077
21 1000 8 382879
22 1000 6 189452
23 1000 7 146442
24 1000 6 85694
25 1000 7 366863
26 1000 5 187782
27 1000 5 175370
28 1000 8 843030
29 1000 7 523088
30 1000 7 852587
1 10 0 74
2 10 0 86
3 10 1 146
4 10 1 167
5 10 2 278
6 10 1 276
7 10 2 271
8 10 2 495
9 10 2 964
10 10 2 603
11 10 2 1790
12 10 2 1371
13 10 2 949
14 10 2 922
15 10 2 1310
16 10 3 1856
17 10 3 2046
18 10 2 2988
19 10 2 3389
20 10 4 5265
21 10 4 5501
22 10 3 10486
23 10 2 2648
24 10 4 9978
25 10 2 3406
26 10 3 2815
27 10 2 8449
28 10 2 2947
29 10 4 11963
30 10 3 10404
1 20 0 59
2 20 1 96
3 20 2 231
4 20 2 196
5 20 1 257
6 20 3 692
7 20 4 858
8 20 2 650
9 20 2 551
10 20 2 910
11 20 4 1913
12 20 2 2069
13 20 2 2107
14 20 2 1317
15 20 4 3705
16 20 5 14797
17 20 4 12575
18 20 4 6678
19 20 4 21334
20 20 3 7864
21 20 3 15757
22 20 2 6231
23 20 3 11349
24 20 3 12849
25 20 5 20440
26 20 5 16720
27 20 4 13477
28 20 7 94173
29 20 4 30335
30 20 5 65368
1 50 1 70
2 50 2 129
3 50 2 224
4 50 3 385
5 50 3 754
6 50 5 1230
7 50 4 1814
8 50 5 3284
9 50 4 3442
10 50 6 10651
11 50 4 7184
12 50 4 5822
13 50 4 9205
14 50 5 21685
15 50 5 20630
16 50 5 23359
17 50 7 49368
18 50 5 38968
19 50 4 31177
20 50 7 110995
21 50 4 31261
22 50 7 311876
23 50 6 210789
24 50 6 161822
25 50 8 438301
26 50 7 159180
27 50 7 261726
28 50 7 252079
29 50 7 330648
30 50 7 510367
1 75 1 88
2 75 2 181
3 75 3 417
4 75 3 549
5 75 4 1040
6 75 3 1756
7 75 3 1631
8 75 5 3924
9 75 4 4563
10 75 6 9277
11 75 5 6340
12 75 3 4181
13 75 5 21608
14 75 5 22124
15 75 5 24155
16 75 5 18841
17 75 6 59168
18 75 5 29842
19 75 6 39691
20 75 5 49403
21 75 6 53181
22 75 6 115829
23 75 5 119552
24 75 9 240390
25 75 9 474666
26 75 9 935453
27 75 7 220299
28 75 8 648852
29 75 7 586938
30 75 8 1680232
1 100 1 76
2 100 2 136
3 100 2 244
4 100 3 372
5 100 3 739
6 100 3 904
7 100 2 925
8 100 4 2589
9 100 5 7203
10 100 5 6815
11 100 6 9741
12 100 5 14310
13 100 5 12396
14 100 6 35416
15 100 6 35997
16 100 5 22452
17 100 5 41407
18 100 6 39292
19 100 5 64266
20 100 4 32587
21 100 5 47528
22 100 7 278486
23 100 8 248724
24 100 7 282324
25 100 8 267185
26 100 8 441338
27 100 9 1353308
28 100 5 233207
29 100 6 533446
30 100 9 1545411
1 1000 1 87
2 1000 1 181
3 1000 2 358
4 1000 2 567
5 1000 3 824
6 1000 3 1306
7 1000 4 1911
8 1000 4 3092
9 1000 3 2706
10 1000 5 8596
11 1000 4 9090
12 1000 6 14142
13 1000 6 22571
14 1000 6 24743
15 1000 5 17940
16 1000 7 65553
17 1000 6 36109
18 1000 6 80414
19 1000 4 28653
20 1000 7 114484
21 1000 7 173761
22 1000 6 86229
23 1000 7 130023
24 1000 7 206030
25 1000 7 216149
26 1000 8 276023
27 1000 7 256946
28 1000 8 529748
29 1000 9 530266
30 1000 6 401220
1 10 0 82
2 10 1 147
3 10 1 247
4 10 1 212
5 10 1 307
6 10 1 188
7 10 2 712
8 10 1 499
9 10 1 269
10 10 1 547
11 10 1 509
12 10 2 1643
13 10 2 1548
14 10 3 2704
15 10 3 1620
16 10 3 7596
17 10 1 1232
18 10 3 2728
19 10 3 5435
20 10 1 3714
21 10 1 2765
22 10 3 12766
23 10 3 8146
24 10 3 6051
25 10 3 4313
26 10 3 7527
27 10 4 11156
28 10 4 12599
29 10 4 13288
30 10 2 4238
1 20 1 76
2 20 2 123
3 20 1 164
4 20 2 398
5 20 2 227
6 20 2 556
7 20 2 516
8 20 3 1327
9 20 3 1203
10 20 2 1075
11 20 3 1542
12 20 1 1667
13 20 2 1544
14 20 4 3681
15 20 2 3206
16 20 3 2844
17 20 3 5388
18 20 3 5061
19 20 5 16089
20 20 2 2835
21 20 7 70018
22 20 3 11398
23 20 4 9631
24 20 3 15822
25 20 6 55915
26 20 7 43737
27 20 6 53142
28 20 4 12070
29 20 3 10945
30 20 6 62027
1 50 1 73
2 50 2 133
3 50 3 258
4 50 2 407
5 50 3 789
6 50 2 814
7 50 3 1116
8 50 3 1344
9 50 3 2980
10 50 4 2924
11 50 4 6022
12 50 4 6044
13 50 5 6381
14 50 8 28606
15 50 4 9170
16 50 5 26136
17 50 5 28426
18 50 5 23553
19 50 5 51649
20 50 5 48182
21 50 6 65869
22 50 5 56895
23 50 8 345618
24 50 6 80752
25 50 9 749865
26 50 5 61876
27 50 6 205714
28 50 7 531406
29 50 8 710987
30 50 10 1673275
1 75 1 60
2 75 2 129
3 75 2 242
4 75 3 430
5 75 2 569
6 75 3 1013
7 75 4 1614
8 75 4 1666
9 75 5 4551
10 75 8 15772
11 75 4 6263
12 75 4 7855
13 75 4 11344
14 75 5 23320
15 75 6 34695
16 75 4 13292
17 75 7 68630
18 75 6 62879
19 75 5 22355
20 75 6 77288
21 75 7 132126
22 75 6 156361
23 75 9 154099
24 75 8 414579
25 75 9 476544
26 75 7 360865
27 75 7 704124
28 75 6 288214
29 75 9 1481027
30 75 7 979849
1 100 1 59
2 100 1 121
3 100 1 191
4 100 2 359
5 100 2 609
6 100 3 1151
7 100 4 1770
8 100 3 1690
9 100 3 2552
10 100 5 7228
11 100 5 7147
12 100 6 12375
13 100 5 16956
14 100 5 22548
15 100 6 39170
16 100 5 23786
17 100 9 106457
18 100 6 88614
19 100 5 49292
20 100 7 98385
21 100 7 237084
22 100 7 94484
23 100 6 156802
24 100 5 109482
25 100 7 172690
26 100 7 338476
27 100 7 1041486
28 100 8 369714
29 100 8 508488
30 100 9 990672
1 1000 1 60
2 1000 1 127
3 1000 2 222
4 1000 3 417
5 1000 3 696
6 1000 4 1594
7 1000 4 2094
8 1000 5 2348
9 1000 4 2679
10 1000 4 3450
11 1000 4 4516
12 1000 5 19087
13 1000 4 9009
14 1000 6 11441
15 1000 7 50752
16 1000 4 16402
17 1000 4 26402
18 1000 6 52063
19 1000 5 29527
20 1000 5 38653
21 1000 6 123459
22 1000 7 365031
23 1000 7 163362
24 1000 6 117467
25 1000 5 184371
26 1000 5 88557
27 1000 6 382415
28 1000 8 955010
29 1000 7 560287
30 1000 12 8103960
1 10 1 71
2 10 1 107
3 10 1 111
4 10 2 289
5 10 0 186
6 10 2 361
7 10 1 265
8 10 2 464
9 10 3 516
10 10 2 605
11 10 1 616
12 10 1 706
13 10 2 1427
14 10 2 1707
15 10 1 986
16 10 2 1073
17 10 2 1365
18 10 2 2833
19 10 3 5455
20 10 2 3004
21 10 4 7178
22 10 4 5474
23 10 4 5905
24 10 4 16030
25 10 2 4270
26 10 5 13038
27 10 3 13316
28 10 2 3316
29 10 3 6550
30 10 3 13169
1 20 0 64
2 20 1 86
3 20 2 220
4 20 2 229
5 20 1 246
6 20 3 691
7 20 2 1104
8 20 2 699
9 20 2 810
10 20 1 731
11 20 2 1450
12 20 4 3665
13 20 3 4913
14 20 3 2964
15 20 3 9612
16 20 3 4923
17 20 5 15679
18 20 3 8863
19 20 5 24452
20 20 2 6991
21 20 4 11540
22 20 3 13506
23 20 5 29579
24 20 4 24112
25 20 5 55572
26 20 4 31764
27 20 7 121640
28 20 6 157934
29 20 8 186604
30 20 5 34708
1 50 1 57
2 50 1 121
3 50 2 223
4 50 2 323
5 50 2 464
6 50 4 1375
7 50 4 1397
8 50 4 1836
9 50 4 3007
10 50 4 4308
11 50 5 7524
12 50 5 16448
13 50 7 38481
14 50 4 11604
15 50 6 41819
16 50 6 24964
17 50 4 18058
18 50 5 26134
19 50 5 62122
20 50 4 47305
21 50 5 53667
22 50 6 218327
23 50 6 122199
24 50 5 80091
25 50 5 46333
26 50 9 689633
27 50 7 537939
28 50 8 768643
29 50 6 369940
30 50 6 226478
1 75 1 89
2 75 1 178
3 75 2 343
4 75 2 564
5 75 2 773
6 75 3 1298
7 75 3 2302
8 75 6 4242
9 75 4 5639
10 75 5 4941
11 75 3 6312
12 75 6 16333
13 75 4 7454
14 75 6 14389
15 75 6 22242
16 75 7 47418
17 75 5 25265
18 75 7 81287
19 75 6 71503
20 75 5 41469
21 75 9 448917
22 75 5 47298
23 75 6 153318
24 75 8 350490
25 75 7 194173
26 75 7 299091
27 75 9 913274
28 75 7 732254
29 75 8 782542
30 75 7 868964
1 100 1 66
2 100 2 180
3 100 2 345
4 100 2 575
5 100 2 1026
6 100 4 2193
7 100 5 3568
8 100 4 2648
9 100 3 2769
10 100 4 4940
11 100 5 7519
12 100 4 11230
13 100 5 15876
14 100 5 9319
15 100 6 36955
16 100 6 24908
17 100 4 22709
18 100 5 44035
19 100 7 115069
20 100 5 65944
21 100 7 94627
22 100 9 563851
23 100 9 781947
24 100 5 75506
