n r res t
6 1 1 385
7 1 0 334
8 1 0 377
9 1 1 705
10 1 1 590
11 1 0 464
12 1 0 398
13 1 0 430
14 1 1 923
15 1 1 1236
16 1 0 647
17 1 1 1364
18 1 0 785
19 1 0 791
20 1 1 1257
21 1 0 868
22 1 0 917
23 1 1 960
24 1 1 1009
25 1 0 1100
26 1 1 2340
27 1 0 1016
28 1 0 1150
29 1 1 2785
30 1 1 2485
1 10 1 83
2 10 1 186
3 10 2 320
4 10 2 274
5 10 1 447
6 10 1 380
7 10 2 406
8 10 2 1457
9 10 1 648
10 10 1 801
11 10 2 1095
12 10 1 1346
13 10 2 1293
14 10 3 5520
15 10 2 1965
16 10 3 3388
17 10 2 3574
18 10 2 3098
19 10 2 1709
20 10 2 4605
21 10 2 4215
22 10 3 5121
23 10 1 2663
24 10 5 15730
25 10 4 13030
26 10 4 16304
27 10 3 11002
28 10 4 23625
29 10 2 4858
30 10 2 5808
1 20 1 79
2 20 0 99
3 20 2 264
4 20 1 511
5 20 1 568
6 20 2 924
7 20 2 1028
8 20 2 1108
9 20 3 2631
10 20 2 1749
11 20 4 4437
12 20 3 5747
13 20 3 4019
14 20 2 2500
15 20 3 9728
16 20 3 10172
17 20 3 7355
18 20 4 14758
19 20 4 16702
20 20 2 4438
21 20 5 49777
22 20 4 26614
23 20 5 48885
24 20 4 38947
25 20 5 81692
26 20 5 39284
27 20 4 21862
28 20 5 126860
29 20 4 34944
30 20 3 30928
1 50 1 91
2 50 2 205
3 50 1 300
4 50 3 602
5 50 3 928
6 50 5 2183
7 50 4 2767
8 50 2 2286
9 50 4 6731
10 50 4 5319
11 50 5 18048
12 50 3 7939
13 50 6 28849
14 50 3 9893
15 50 7 73522
16 50 5 49819
17 50 7 79590
18 50 6 171483
19 50 6 52234
20 50 7 269121
21 50 7 146969
22 50 7 78535
23 50 5 144777
24 50 6 236615
25 50 5 170051
26 50 7 499190
27 50 7 312363
28 50 5 88917
29 50 7 278131
30 50 5 164808
1 75 1 65
2 75 2 129
3 75 2 279
4 75 2 383
5 75 2 645
6 75 5 1661
7 75 2 970
8 75 4 2577
9 75 3 2899
10 75 4 4412
11 75 4 10003
12 75 6 12765
13 75 3 5557
14 75 5 19334
15 75 5 14693
16 75 6 29681
17 75 6 67981
18 75 8 103615
19 75 6 65298
20 75 6 76308
21 75 6 93081
22 75 6 180019
23 75 8 487114
24 75 6 187609
25 75 6 163280
26 75 8 577887
27 75 7 670255
28 75 7 452651
29 75 8 676678
30 75 11 4457250
1 100 1 81
2 100 1 129
3 100 2 231
4 100 2 370
5 100 4 1038
6 100 3 983
7 100 5 2543
8 100 4 2151
9 100 4 3985
10 100 5 6555
11 100 6 8510
12 100 4 6273
13 100 4 13306
14 100 4 11729
15 100 4 27554
16 100 6 25954
17 100 6 59951
18 100 6 37721
19 100 8 154908
20 100 6 101569
21 100 8 389013
22 100 6 183582
23 100 7 145527
24 100 6 79601
25 100 7 362159
26 100 5 177359
27 100 5 167616
28 100 8 757857
29 100 7 396580
30 100 7 654077
1 1 0 65
2 1 0 89
3 1 0 110
4 1 0 140
5 1 0 158
6 1 0 156
7 1 0 218
8 1 1 331
9 1 0 241
10 1 0 243
11 1 0 265
12 1 0 314
13 1 0 307
14 1 0 339
15 1 0 334
16 1 1 482
17 1 0 513
18 1 0 466
19 1 0 439
20 1 1 870
21 1 1 959
22 1 0 473
23 1 0 536
24 1 1 972
25 1 0 598
26 1 0 594
27 1 0 573
28 1 0 617
29 1 0 641
30 1 1 1627
1 10 0 60
2 10 1 74
3 10 1 118
4 10 1 208
5 10 0 150
6 10 2 430
7 10 4 1014
8 10 2 448
9 10 1 396
10 10 2 349
11 10 2 939
12 10 2 760
13 10 1 937
14 10 1 480
15 10 3 1472
16 10 4 4716
17 10 3 3463
18 10 3 2794
19 10 3 7125
20 10 2 1847
21 10 2 2654
22 10 1 1283
23 10 2 2861
24 10 2 2652
25 10 4 5834
26 10 4 5393
27 10 2 2579
28 10 5 16078
29 10 2 6100
30 10 3 14455
1 20 1 56
2 20 1 105
3 20 2 187
4 20 2 154
5 20 1 316
6 20 4 1063
7 20 3 988
8 20 3 878
9 20 3 742
10 20 4 2132
11 20 2 1996
12 20 2 2032
13 20 2 1345
14 20 3 4057
15 20 3 2235
16 20 4 5063
17 20 5 9034
18 20 3 5725
19 20 3 4170
20 20 5 11381
21 20 2 3762
22 20 5 26469
23 20 3 20439
24 20 4 16887
25 20 6 44767
26 20 4 20534
27 20 5 24803
28 20 5 23074
29 20 5 26469
30 20 6 111063
1 50 1 48
2 50 2 113
3 50 3 285
4 50 3 419
5 50 4 699
6 50 2 1088
7 50 3 1688
8 50 5 4593
9 50 4 5044
10 50 6 13372
11 50 5 9001
12 50 3 5098
13 50 5 30530
14 50 5 29534
15 50 5 30014
16 50 4 19019
17 50 5 59608
18 50 5 30155
19 50 6 26589
20 50 5 32907
21 50 6 43688
22 50 6 102064
23 50 5 83158
24 50 9 232943
25 50 8 334103
26 50 8 555865
27 50 6 142606
28 50 8 620088
29 50 7 499942
30 50 8 1202564
1 75 1 57
2 75 2 105
3 75 2 250
4 75 3 326
5 75 3 798
6 75 3 980
7 75 2 1007
8 75 4 2690
9 75 5 4533
10 75 5 5881
11 75 6 9580
12 75 5 14364
13 75 5 12266
14 75 6 34840
15 75 6 35545
16 75 5 20402
17 75 5 41551
18 75 6 38873
19 75 5 64058
20 75 4 32393
21 75 5 47057
22 75 7 278609
23 75 8 240190
24 75 7 275571
25 75 8 266738
26 75 8 449432
27 75 9 1354210
28 75 5 231000
29 75 6 400650
30 75 9 1775083
1 100 1 90
2 100 1 118
3 100 2 260
4 100 2 370
5 100 3 663
6 100 3 1254
7 100 4 1895
8 100 4 3134
9 100 3 2444
10 100 5 8197
11 100 4 8986
12 100 6 13524
13 100 6 22211
14 100 6 23919
15 100 5 16074
16 100 7 64278
17 100 6 40488
18 100 6 94356
19 100 4 28345
20 100 7 113445
21 100 7 172864
22 100 6 85807
23 100 7 131141
24 100 7 206098
25 100 7 217248
26 100 8 269737
27 100 7 352410
28 100 8 545914
29 100 9 525157
30 100 6 406661
1 1 0 66
2 1 0 95
3 1 0 98
4 1 0 137
5 1 0 135
6 1 0 170
7 1 0 207
8 1 0 210
9 1 0 213
10 1 0 239
11 1 0 249
12 1 1 456
13 1 1 501
14 1 1 610
15 1 1 360
16 1 1 621
17 1 1 636
18 1 1 925
19 1 0 432
20 1 0 458
21 1 0 458
22 1 1 604
23 1 0 539
24 1 0 516
25 1 0 546
26 1 1 796
27 1 1 727
28 1 1 1405
29 1 1 1172
30 1 0 640
1 10 1 62
2 10 2 123
3 10 1 240
4 10 2 243
5 10 2 236
6 10 1 383
7 10 1 305
8 10 2 827
9 10 2 538
10 10 1 449
11 10 2 1076
12 10 1 335
13 10 2 942
14 10 3 1589
15 10 1 757
16 10 2 1388
17 10 2 1696
18 10 2 2314
19 10 4 4605
20 10 1 1053
21 10 5 13884
22 10 2 2890
23 10 2 2858
24 10 2 4758
25 10 4 12848
26 10 6 8736
27 10 4 12768
28 10 3 2467
29 10 2 3316
30 10 4 11104
1 20 0 64
2 20 1 185
3 20 2 346
4 20 1 267
5 20 2 443
6 20 2 683
7 20 2 1151
8 20 2 645
9 20 1 548
10 20 2 1328
11 20 3 2539
12 20 3 3317
13 20 4 2576
14 20 5 9626
15 20 2 3230
16 20 4 5666
17 20 3 2935
18 20 3 3712
19 20 5 20137
20 20 3 7080
21 20 4 8306
22 20 3 5854
23 20 7 49423
24 20 3 6979
25 20 7 92737
26 20 4 12830
27 20 4 26108
28 20 5 36765
29 20 5 96310
30 20 7 259125
1 50 1 111
2 50 1 204
3 50 2 377
4 50 3 740
5 50 2 892
6 50 2 1129
7 50 3 2239
8 50 4 2773
9 50 4 6315
10 50 7 19405
11 50 4 9821
12 50 3 11946
13 50 4 18630
14 50 5 29479
15 50 5 35235
16 50 4 15773
17 50 6 59717
18 50 6 76597
19 50 5 25592
20 50 6 71580
21 50 7 125684
22 50 6 151219
23 50 9 137492
24 50 7 351803
25 50 9 609994
26 50 7 254840
27 50 7 571540
28 50 6 233099
29 50 9 1401680
30 50 7 699927
1 75 1 90
2 75 1 134
3 75 1 379
4 75 2 407
5 75 2 600
6 75 3 1126
7 75 4 1712
8 75 3 1753
9 75 3 2525
10 75 5 7217
11 75 5 7359
12 75 6 12443
13 75 5 16905
14 75 5 22541
15 75 6 38592
16 75 5 23686
17 75 9 105911
18 75 6 110016
19 75 5 71047
20 75 7 127946
21 75 7 231758
22 75 7 92488
23 75 6 156998
24 75 5 109345
25 75 7 170570
26 75 7 340689
27 75 7 795649
28 75 8 381220
29 75 8 524942
30 75 9 981481
1 100 1 53
2 100 1 122
3 100 2 209
4 100 3 397
5 100 3 625
6 100 4 1645
7 100 4 1939
8 100 5 2339
9 100 4 2678
10 100 4 3336
11 100 4 4634
12 100 5 19086
13 100 4 9117
14 100 6 11446
15 100 7 49792
16 100 4 16332
17 100 4 26362
18 100 6 52720
19 100 5 29594
20 100 5 38444
21 100 6 123397
22 100 7 377452
23 100 7 163064
24 100 6 118012
25 100 5 184640
26 100 5 88356
27 100 6 410099
28 100 8 944036
29 100 7 565861
30 100 12 8191283
1 1 1 74
2 1 0 118
3 1 0 127
4 1 0 169
5 1 0 212
6 1 1 251
7 1 0 319
8 1 1 370
9 1 0 360
10 1 0 445
11 1 0 294
12 1 1 508
13 1 1 589
14 1 1 553
15 1 0 398
16 1 1 567
17 1 1 619
18 1 0 452
19 1 0 481
20 1 0 480
21 1 1 1468
22 1 1 950
23 1 1 1127
24 1 1 1013
25 1 0 634
26 1 1 884
27 1 0 628
28 1 0 657
29 1 0 691
30 1 1 984
1 10 0 84
2 10 0 161
3 10 2 354
4 10 1 316
5 10 1 204
6 10 2 647
7 10 1 353
8 10 1 449
9 10 2 559
10 10 1 435
11 10 1 506
12 10 3 1829
13 10 2 1447
14 10 2 753
15 10 2 2113
16 10 2 1093
17 10 3 2815
18 10 2 1656
19 10 3 3881
20 10 1 1158
21 10 3 1771
22 10 2 2147
23 10 3 4845
24 10 3 3465
25 10 4 8315
26 10 2 5567
27 10 6 26280
28 10 4 25212
29 10 7 43651
30 10 3 6146
1 20 0 66
2 20 1 136
3 20 1 281
4 20 1 265
5 20 2 365
6 20 2 1076
7 20 1 695
8 20 2 525
9 20 3 1129
10 20 3 1364
11 20 4 2143
12 20 3 3582
13 20 5 8081
14 20 2 2897
15 20 5 5629
16 20 4 4753
17 20 3 4034
18 20 3 4963
19 20 3 6101
20 20 2 4756
21 20 3 5081
22 20 4 23362
23 20 4 13952
24 20 3 4861
25 20 3 16318
26 20 6 62654
27 20 5 75146
28 20 7 109187
29 20 5 45755
30 20 5 27100
1 50 1 83
2 50 1 199
3 50 2 338
4 50 2 559
5 50 2 480
6 50 3 999
7 50 3 1907
8 50 5 2974
9 50 3 3983
10 50 4 4977
11 50 3 5868
12 50 6 15100
13 50 4 6808
14 50 5 11088
15 50 6 21456
16 50 7 45829
17 50 5 18877
18 50 6 72614
19 50 6 52273
20 50 5 37164
21 50 9 683553
22 50 5 75449
23 50 6 177035
24 50 7 350448
25 50 7 266363
26 50 7 290807
27 50 9 689702
28 50 7 465590
29 50 7 503011
30 50 7 660811
1 75 1 61
2 75 2 127
3 75 2 276
4 75 2 400
5 75 2 602
6 75 4 1592
7 75 5 2578
8 75 4 2682
9 75 3 2471
10 75 4 4725
11 75 5 7533
12 75 4 11244
13 75 5 16114
14 75 5 9544
15 75 6 44953
16 75 6 46263
17 75 4 41822
18 75 5 79038
19 75 7 219468
20 75 5 95077
21 75 7 137108
22 75 9 625928
23 75 9 812626
24 75 5 72786
25 75 7 123282
26 75 6 141773
27 75 7 753118
28 75 7 830959
29 75 7 541680
30 75 9 1333306
1 100 1 84
2 100 2 116
3 100 3 232
4 100 3 440
5 100 4 907
6 100 4 1531
7 100 4 2009
8 100 4 4133
9 100 5 5350
10 100 3 6533
11 100 5 11297
12 100 4 7843
13 100 5 12337
14 100 6 15708
15 100 7 43117
16 100 5 22190
17 100 5 21147
18 100 7 161693
19 100 6 79192
20 100 7 327233
21 100 5 124778
22 100 6 192714
23 100 5 168502
24 100 7 210085
25 100 8 575240
26 100 5 64083
27 100 7 252707
28 100 5 161511
29 100 10 1867619
30 100 6 524905
1 1 0 76
2 1 0 144
3 1 0 196
4 1 0 203
5 1 0 216
6 1 1 337
7 1 1 349
8 1 1 306
9 1 0 304
10 1 0 300
11 1 0 327
12 1 0 347
13 1 1 580
14 1 1 556
15 1 1 688
16 1 1 652
17 1 0 446
18 1 1 610
19 1 1 491
20 1 0 487
21 1 1 947
22 1 0 563
23 1 0 577
24 1 0 555
25 1 1 903
26 1 0 632
27 1 1 874
28 1 1 1109
29 1 1 693
30 1 0 713
1 10 0 80
2 10 1 196
3 10 1 230
4 10 1 262
5 10 1 286
6 10 2 485
7 10 0 215
8 10 1 331
9 10 3 1356
10 10 1 606
11 10 2 925
12 10 4 2457
13 10 3 3910
14 10 3 1606
15 10 3 1491
16 10 1 1318
17 10 5 11998
18 10 3 3716
19 10 2 1630
20 10 2 3089
21 10 2 1990
22 10 3 5746
23 10 1 2508
24 10 3 7722
25 10 2 2933
