n r res t
22 1000 9 28006
23 1000 7 30549
24 1000 7 35348
25 1000 6 27424
26 1000 8 43064
27 1000 5 40657
28 1000 6 49722
29 1000 6 27253
30 1000 7 66569
1 10 0 724
2 10 1 881
3 10 0 1024
4 10 2 1283
5 10 2 1757
6 10 3 2857
7 10 1 2517
8 10 3 2851
9 10 2 4137
10 10 2 2885
11 10 2 2933
12 10 1 3067
13 10 2 3632
14 10 2 4613
15 10 3 5388
16 10 2 5530
17 10 3 5736
18 10 3 6121
19 10 3 5614
20 10 1 5090
21 10 2 9132
22 10 2 6140
23 10 3 5377
24 10 3 6280
25 10 3 7733
26 10 4 17567
27 10 2 7270
28 10 4 10267
29 10 3 9366
30 10 3 8073
1 20 1 779
2 20 1 873
3 20 3 1257
4 20 2 1168
5 20 2 1489
6 20 2 1426
7 20 2 2104
8 20 3 3549
9 20 2 2366
10 20 1 2575
11 20 2 3274
12 20 2 3716
13 20 3 4754
14 20 4 21198
15 20 3 4627
16 20 4 7234
17 20 4 7992
18 20 3 7666
19 20 3 6936
20 20 4 9665
21 20 3 9046
22 20 5 18063
23 20 2 7995
24 20 7 14251
25 20 6 15224
26 20 5 14432
27 20 4 13421
28 20 6 20043
29 20 3 12018
30 20 4 14481
1 50 1 637
2 50 1 1081
3 50 2 1235
4 50 3 1867
5 50 2 2530
6 50 3 3156
7 50 3 4732
8 50 3 4359
9 50 5 10086
10 50 4 9351
11 50 6 9954
12 50 5 9409
13 50 5 10213
14 50 4 9870
15 50 4 12841
16 50 6 13946
17 50 5 15530
18 50 6 17293
19 50 6 18537
20 50 3 13680
21 50 7 22748
22 50 6 23901
23 50 5 22163
24 50 6 27516
25 50 8 29350
26 50 7 28972
27 50 5 26609
28 50 8 37481
29 50 7 31366
30 50 7 37612
1 75 1 1402
2 75 2 1094
3 75 2 1379
4 75 3 1830
5 75 4 3031
6 75 5 3636
7 75 4 5273
8 75 2 4541
9 75 4 5327
10 75 5 5797
11 75 5 8700
12 75 3 8473
13 75 6 10467
14 75 4 8275
15 75 7 17666
16 75 5 14325
17 75 8 16332
18 75 7 25866
19 75 6 20993
20 75 7 24845
21 75 8 22862
22 75 7 20388
23 75 6 23949
24 75 7 34291
25 75 5 26497
26 75 7 33117
27 75 7 49083
28 75 5 23661
29 75 8 33892
30 75 6 38727
1 100 1 772
