n r res t
27 1000 5 317318
28 1000 6 173293
29 1000 6 115539
30 1000 7 399059
1 10 0 87
2 10 1 187
3 10 0 207
4 10 2 235
5 10 2 520
6 10 3 556
7 10 1 429
8 10 3 443
9 10 2 1724
10 10 2 795
11 10 2 1109
12 10 1 1200
13 10 2 1724
14 10 2 1997
15 10 3 3021
16 10 2 3290
17 10 3 4489
18 10 3 5191
19 10 3 3105
20 10 1 879
21 10 2 2284
22 10 2 2321
23 10 3 1518
24 10 3 2539
25 10 3 5942
26 10 4 6172
27 10 2 3694
28 10 4 14548
29 10 3 7691
30 10 3 4945
1 20 1 90
2 20 1 205
3 20 3 256
4 20 2 246
5 20 2 520
6 20 2 345
7 20 2 594
8 20 3 1405
9 20 2 422
10 20 1 924
11 20 2 1143
12 20 2 1494
13 20 3 1601
14 20 4 5501
15 20 3 2371
16 20 4 6095
17 20 4 6365
18 20 3 4050
19 20 3 3528
20 20 4 11207
21 20 3 9650
22 20 5 8860
23 20 2 4711
24 20 7 18288
25 20 6 30382
26 20 5 32208
27 20 4 21835
28 20 6 67754
29 20 3 16625
30 20 4 15178
1 50 1 66
2 50 1 162
3 50 2 196
4 50 3 225
5 50 2 582
6 50 3 571
7 50 3 867
8 50 3 1322
9 50 5 3411
10 50 4 2314
11 50 6 4517
12 50 5 7908
13 50 5 6073
14 50 4 7702
15 50 4 21403
16 50 6 14583
17 50 5 22030
18 50 6 28544
19 50 6 43603
20 50 3 16129
21 50 7 123839
22 50 6 83632
23 50 5 71811
24 50 6 343992
25 50 8 201706
26 50 7 213095
27 50 5 176331
28 50 8 1111387
29 50 7 167813
30 50 7 305479
1 75 1 113
2 75 2 244
3 75 2 287
4 75 3 309
5 75 4 410
6 75 5 457
7 75 4 1295
8 75 2 1582
9 75 4 2849
10 75 5 1640
11 75 5 7890
12 75 3 7607
13 75 6 8748
14 75 4 9732
15 75 7 35358
16 75 5 31089
17 75 8 14275
18 75 7 121218
19 75 6 41142
20 75 7 144469
21 75 8 52225
22 75 7 34267
23 75 6 216044
24 75 7 278566
25 75 5 184620
26 75 7 245859
27 75 7 146939
28 75 5 64646
29 75 8 214592
30 75 6 311676
1 100 1 132
2 100 2 211
3 100 2 352
4 100 2 451
5 100 2 616
6 100 5 410
7 100 2 961
8 100 4 1367
9 100 3 2236
10 100 4 3346
11 100 4 10209
12 100 6 4173
13 100 3 5226
14 100 5 16591
15 100 5 8158
16 100 6 17566
17 100 6 49315
18 100 8 46417
19 100 6 45333
20 100 6 58992
21 100 6 68987
22 100 6 126597
23 100 8 316693
24 100 6 139440
25 100 6 130293
26 100 8 310618
27 100 7 522132
28 100 7 380384
29 100 8 440107
30 100 11 3025495
1 1000 1 158
2 1000 1 424
3 1000 2 450
4 1000 2 521
5 1000 4 662
6 1000 3 1282
7 1000 5 1928
8 1000 4 2475
9 1000 4 6308
10 1000 5 6220
11 1000 6 7068
12 1000 4 9626
13 1000 4 21607
14 1000 4 18693
15 1000 4 47731
16 1000 6 37959
17 1000 6 87830
18 1000 6 39423
19 1000 8 93310
20 1000 6 133182
21 1000 8 331828
22 1000 6 316877
23 1000 7 174059
24 1000 6 144632
25 1000 7 558872
26 1000 5 312416
27 1000 5 290497
28 1000 8 764487
29 1000 7 644548
30 1000 7 922993
1 10 0 102
2 10 0 181
3 10 1 370
4 10 1 499
5 10 2 600
6 10 1 592
7 10 2 560
8 10 2 925
9 10 2 1840
10 10 2 1224
11 10 2 3668
12 10 2 2621
13 10 2 1931
14 10 2 1906
15 10 2 2676
16 10 3 3459
17 10 3 4086
18 10 2 7381
19 10 2 7606
20 10 4 8652
21 10 4 10721
22 10 3 23072
23 10 2 6029
24 10 4 22142
25 10 2 7769
26 10 3 6098
27 10 2 19899
28 10 2 7053
29 10 4 22855
30 10 3 22387
1 20 0 236
2 20 1 136
3 20 2 448
4 20 2 387
5 20 1 592
6 20 3 607
7 20 4 959
8 20 2 1147
9 20 2 1056
10 20 2 1652
11 20 4 2858
12 20 2 4659
13 20 2 4867
14 20 2 3101
15 20 4 6493
16 20 5 22650
17 20 4 27330
18 20 4 11577
19 20 4 41425
20 20 3 16117
21 20 3 22433
22 20 2 14317
23 20 3 25008
24 20 3 27503
25 20 5 36620
