n r res t
4 1000 3 584
5 1000 2 881
6 1000 4 2137
7 1000 2 3709
8 1000 4 8534
9 1000 5 10741
10 1000 5 20448
11 1000 4 39589
12 1000 4 81957
13 1000 6 155946
14 1000 6 309275
15 1000 5 618518
16 1000 6 1208145
17 1000 6 2429348
18 1000 7 4819275
19 1000 5 9655527
20 1000 8 19273222
21 1000 7 38551161
22 1000 9 77162556
23 1000 7 154396296
24 1000 7 308788384
25 1000 6 617677417
26 1000 8 1238057582
27 1000 5 2469678951
28 1000 6 4944602753
29 1000 6 9864012731
30 1000 7 19751451952
1 10 0 113
2 10 1 135
3 10 0 199
4 10 2 492
5 10 2 881
6 10 3 1421
7 10 1 3629
8 10 3 7154
9 10 2 9876
10 10 2 19099
11 10 2 39383
12 10 1 75270
13 10 2 150071
14 10 2 299609
15 10 3 597896
16 10 2 1211764
17 10 3 2398679
18 10 3 4826877
19 10 3 9616346
20 10 1 19244466
21 10 2 38515535
22 10 2 76995244
23 10 3 154692556
24 10 3 308076227
25 10 3 616625986
26 10 4 1232966691
27 10 2 2467354510
28 10 4 4944232291
29 10 3 9901735284
30 10 3 19738157955
1 20 1 99
2 20 1 157
3 20 3 227
4 20 2 445
5 20 2 896
6 20 2 1340
7 20 2 2714
8 20 3 5286
9 20 2 9764
10 20 1 19078
11 20 2 37854
12 20 2 75556
13 20 3 150290
14 20 4 314222
15 20 3 598311
16 20 4 1199237
17 20 4 2400300
18 20 3 4795723
19 20 3 9591495
20 20 4 19194649
21 20 3 38400688
22 20 5 76789815
23 20 2 153852580
24 20 7 307727097
25 20 6 616395174
26 20 5 1270008848
27 20 4 2469861552
28 20 6 4931695152
29 20 3 9868565727
30 20 4 19767221360
1 50 1 88
2 50 1 154
3 50 2 295
4 50 3 498
5 50 2 822
6 50 3 1698
7 50 3 2950
8 50 3 5495
9 50 5 10694
10 50 4 20002
11 50 6 40270
12 50 5 77840
13 50 5 152169
14 50 4 302141
15 50 4 612446
16 50 6 1204301
17 50 5 2404781
18 50 6 4825007
19 50 6 10056912
20 50 3 19189305
21 50 7 38436398
22 50 6 76794933
23 50 5 153901893
24 50 6 308357530
25 50 8 618234117
26 50 7 1230397965
27 50 5 2468759581
28 50 8 4949207041
29 50 7 9868435536
30 50 7 19734691589
1 75 1 119
2 75 2 137
3 75 2 351
4 75 3 727
5 75 4 1044
6 75 5 1667
7 75 4 3188
8 75 2 5633
9 75 4 10495
10 75 5 20077
11 75 5 44347
12 75 3 77285
13 75 6 157153
14 75 4 345332
15 75 7 620594
16 75 5 1215767
17 75 8 2423849
18 75 7 4879381
19 75 6 9646469
20 75 7 19307224
21 75 8 38767968
22 75 7 77463770
23 75 6 154756813
24 75 7 309094188
25 75 5 617267322
26 75 7 1236247726
27 75 7 2469682766
28 75 5 4943034606
29 75 8 9889806440
30 75 6 19793436624
1 100 1 107
2 100 2 179
3 100 2 322
4 100 2 728
5 100 2 1175
6 100 5 2071
7 100 2 2942
8 100 4 5539
9 100 3 16413
10 100 4 20839
11 100 4 42421
12 100 6 83521
13 100 3 151911
14 100 5 303893
15 100 5 601194
16 100 6 1205227
17 100 6 2421914
18 100 8 4863344
19 100 6 9637120
20 100 6 19284838
21 100 6 38643151
22 100 6 77121730
23 100 8 156211669
24 100 6 311273165
25 100 6 620129033
26 100 8 1240178481
27 100 7 2473430111
28 100 7 4942853078
29 100 8 9907192809
30 100 11 20422149853
1 1000 1 87
2 1000 1 146
3 1000 2 257
4 1000 2 535
5 1000 4 1030
6 1000 3 2299
7 1000 5 3772
8 1000 4 7414
9 1000 4 10504
10 1000 5 20165
11 1000 6 39847
12 1000 4 76706
13 1000 4 154013
14 1000 4 301969
15 1000 4 605571
16 1000 6 1214356
17 1000 6 2441034
18 1000 6 4843735
19 1000 8 9730897
20 1000 6 19399729
21 1000 8 38798234
22 1000 6 77279597
23 1000 7 157286701
24 1000 6 310423604
25 1000 7 637138983
26 1000 5 1251415438
27 1000 5 2495755551
28 1000 8 5010159764
29 1000 7 9970248797
30 1000 7 19939603567
1 10 0 83
2 10 0 125
3 10 1 274
4 10 1 404
5 10 2 791
6 10 1 1389
7 10 2 2612
8 10 2 4978
9 10 2 11503
10 10 2 18983
11 10 2 38225
12 10 2 75490
13 10 2 155343
14 10 2 299301
15 10 2 598039
16 10 3 1196862
17 10 3 2409745
18 10 2 4807947
19 10 2 9613921
20 10 4 19232641
21 10 4 38460595
22 10 3 76922419
23 10 2 154849012
24 10 4 308172415
25 10 2 614769149
26 10 3 1244655578
27 10 2 2474457396
28 10 2 4938013016
29 10 4 10120249352
30 10 3 19944631350
1 20 0 99
2 20 1 134
3 20 2 290
4 20 2 446
5 20 1 792
6 20 3 1580
7 20 4 3375
8 20 2 8047
9 20 2 11473
10 20 2 19269
11 20 4 44090
12 20 2 75758
13 20 2 155171
14 20 2 299541
15 20 4 603297
16 20 5 1201789
17 20 4 2404331
18 20 4 4820764
19 20 4 9605794
20 20 3 19246898
21 20 3 38466940
22 20 2 76895983
23 20 3 153653278
24 20 3 308596047
25 20 5 615734875
26 20 5 1229573885
27 20 4 2458683225
28 20 7 4949595981
29 20 4 9922193179
30 20 5 19683089541
1 50 1 102
2 50 2 151
3 50 2 326
4 50 3 522
5 50 3 1055
6 50 5 1520
7 50 4 2981
8 50 5 5477
9 50 4 10500
10 50 6 21087
11 50 4 39664
12 50 4 76970
13 50 4 152320
14 50 5 304109
15 50 5 602658
16 50 5 1205375
17 50 7 2410701
18 50 5 4807481
19 50 4 9603937
20 50 7 19213863
21 50 4 38405700
22 50 7 76816155
23 50 6 153833385
24 50 6 314678737
25 50 8 614718095
26 50 7 1228636163
27 50 7 2456906030
28 50 7 5002999658
29 50 7 10007575299
30 50 7 19989261723
1 75 1 104
2 75 2 140
3 75 3 250
4 75 3 525
5 75 4 1005
6 75 3 2258
7 75 3 3928
8 75 5 8643
9 75 4 10780
10 75 6 20625
11 75 5 39626
12 75 3 76328
13 75 5 154379
14 75 5 329796
15 75 5 604471
16 75 5 1224774
17 75 6 2419475
18 75 5 4852987
19 75 6 9647136
20 75 5 19802223
21 75 6 39072669
22 75 6 79983406
23 75 5 157200506
24 75 9 311890164
25 75 9 633697151
26 75 9 1271742327
27 75 7 2500171664
28 75 8 4985085358
29 75 7 9975232611
30 75 8 20003322301
1 100 1 116
2 100 2 169
3 100 2 337
4 100 3 572
5 100 3 993
6 100 3 2335
7 100 2 4299
8 100 4 7668
9 100 5 14887
10 100 5 20274
11 100 6 41764
12 100 5 82420
13 100 5 157612
14 100 6 312765
15 100 6 612337
16 100 5 1203905
17 100 5 2411423
18 100 6 4807684
19 100 5 9666266
20 100 4 19269047
21 100 5 38962200
22 100 7 86233593
23 100 8 154823490
24 100 7 311140306
25 100 8 618005345
26 100 8 1242386152
27 100 9 2463597421
28 100 5 4954729138
29 100 6 9903529142
30 100 9 20181455479
1 1000 1 113
2 1000 1 174
3 1000 2 292
4 1000 2 530
5 1000 3 775
6 1000 3 1643
7 1000 4 3119
8 1000 4 5814
9 1000 3 10489
10 1000 5 20988
11 1000 4 39866
12 1000 6 78508
13 1000 6 154500
14 1000 6 305292
15 1000 5 601534
16 1000 7 1208846
17 1000 6 2408790
18 1000 6 4838203
19 1000 4 9600017
20 1000 7 19262317
21 1000 7 38495223
22 1000 6 77776184
23 1000 7 154070549
24 1000 7 307383177
25 1000 7 614658239
26 1000 8 1231920305
27 1000 7 2504929665
28 1000 8 4973043929
29 1000 9 10066741920
30 1000 6 19852657623
1 10 0 80
2 10 1 152
3 10 1 254
4 10 1 519
5 10 1 752
6 10 1 1317
7 10 2 2519
8 10 1 4859
9 10 1 9539
10 10 1 18877
11 10 1 37686
12 10 2 75515
13 10 2 150126
14 10 3 299703
15 10 3 597723
16 10 3 1202599
17 10 1 2396904
18 10 3 4800147
19 10 3 9603673
20 10 1 19209329
21 10 1 38480757
22 10 3 77398988
23 10 3 156736487
24 10 3 308351328
25 10 3 618959746
26 10 3 1237461301
27 10 4 2475163232
28 10 4 4963884147
29 10 4 9985355124
30 10 2 19970384326
1 20 1 107
2 20 2 148
3 20 1 316
4 20 2 534
5 20 2 848
6 20 2 1542
7 20 2 2712
8 20 3 5238
9 20 3 10014
10 20 2 19251
11 20 3 38037
12 20 1 75555
13 20 2 150225
14 20 4 300225
15 20 2 598710
16 20 3 1197074
17 20 3 2399078
18 20 3 4795257
19 20 5 9613123
20 20 2 19198045
21 20 7 38387807
22 20 3 76767068
23 20 4 153565893
24 20 3 307078311
25 20 6 614519516
26 20 7 1228807503
