n r res t
28 1000 6 117788
29 1000 6 118988
30 1000 7 414038
1 10 0 88
2 10 1 156
3 10 0 213
4 10 2 270
5 10 2 467
6 10 3 858
7 10 1 483
8 10 3 589
9 10 2 1407
10 10 2 886
11 10 2 965
12 10 1 784
13 10 2 1585
14 10 2 2484
15 10 3 2898
16 10 2 3269
17 10 3 4716
18 10 3 4623
19 10 3 2644
20 10 1 881
21 10 2 2505
22 10 2 1817
23 10 3 1168
24 10 3 2359
25 10 3 5163
26 10 4 6249
27 10 2 3194
28 10 4 14314
29 10 3 7228
30 10 3 4375
1 20 1 68
2 20 1 104
3 20 3 145
4 20 2 161
5 20 2 308
6 20 2 208
7 20 2 488
8 20 3 1414
9 20 2 401
10 20 1 662
11 20 2 1081
12 20 2 1468
13 20 3 1711
14 20 4 5482
15 20 3 2156
16 20 4 6154
17 20 4 6454
18 20 3 4050
19 20 3 3508
20 20 4 11150
21 20 3 10263
22 20 5 12669
23 20 2 4673
24 20 7 15653
25 20 6 30360
26 20 5 34811
27 20 4 22188
28 20 6 82145
29 20 3 16788
30 20 4 15286
1 50 1 88
2 50 1 104
3 50 2 142
4 50 3 279
5 50 2 569
6 50 3 566
7 50 3 924
8 50 3 1326
9 50 5 2341
10 50 4 2466
11 50 6 3416
12 50 5 6432
13 50 5 6215
14 50 4 7821
15 50 4 21188
16 50 6 15175
17 50 5 18589
18 50 6 29436
19 50 6 44455
20 50 3 16085
21 50 7 96962
22 50 6 73218
23 50 5 71599
24 50 6 347963
25 50 8 209635
26 50 7 150744
27 50 5 124075
28 50 8 868148
29 50 7 169235
30 50 7 313665
1 75 1 115
2 75 2 139
3 75 2 247
4 75 3 307
5 75 4 281
6 75 5 342
7 75 4 1155
8 75 2 1901
9 75 4 3432
10 75 5 2052
11 75 5 10551
12 75 3 10408
13 75 6 12873
14 75 4 9684
15 75 7 41110
16 75 5 44007
17 75 8 24109
18 75 7 179774
19 75 6 64197
20 75 7 199049
21 75 8 81504
22 75 7 52274
23 75 6 263108
24 75 7 370926
25 75 5 213095
26 75 7 433807
27 75 7 306681
28 75 5 135274
29 75 8 310968
30 75 6 241083
1 100 1 101
2 100 2 157
3 100 2 227
4 100 2 491
5 100 2 713
6 100 5 416
7 100 2 1324
8 100 4 1186
9 100 3 2226
10 100 4 3230
11 100 4 7289
12 100 6 4035
13 100 3 4927
14 100 5 14558
15 100 5 7844
16 100 6 18492
17 100 6 40635
18 100 8 46881
19 100 6 38856
20 100 6 49793
21 100 6 69539
22 100 6 121622
23 100 8 277908
24 100 6 140892
25 100 6 114033
26 100 8 315128
27 100 7 473555
28 100 7 294499
29 100 8 379427
30 100 11 2132696
1 1000 1 92
2 1000 1 124
3 1000 2 247
4 1000 2 395
5 1000 4 275
6 1000 3 676
7 1000 5 692
8 1000 4 1377
9 1000 4 2548
10 1000 5 3016
11 1000 6 2896
12 1000 4 4737
13 1000 4 10658
14 1000 4 9097
15 1000 4 24281
16 1000 6 15904
17 1000 6 35527
18 1000 6 20168
19 1000 8 47565
20 1000 6 65240
21 1000 8 179745
22 1000 6 138754
23 1000 7 91504
24 1000 6 62172
25 1000 7 364734
26 1000 5 286931
27 1000 5 297451
28 1000 8 766042
29 1000 7 580843
30 1000 7 897546
1 10 0 82
2 10 0 105
3 10 1 154
4 10 1 201
5 10 2 247
6 10 1 301
7 10 2 264
8 10 2 423
9 10 2 862
10 10 2 512
11 10 2 1718
12 10 2 1208
13 10 2 895
14 10 2 885
15 10 2 1242
16 10 3 1640
17 10 3 1784
18 10 2 3199
19 10 2 3574
20 10 4 4115
21 10 4 4965
22 10 3 10928
23 10 2 2802
24 10 4 9475
25 10 2 3583
26 10 3 2821
27 10 2 9322
28 10 2 3117
29 10 4 11124
30 10 3 10594
1 20 0 67
2 20 1 96
3 20 2 152
4 20 2 179
5 20 1 263
6 20 3 319
7 20 4 320
8 20 2 567
9 20 2 493
10 20 2 774
11 20 4 947
12 20 2 2058
13 20 2 2171
14 20 2 1373
15 20 4 2892
16 20 5 10617
17 20 4 11061
18 20 4 5414
19 20 4 19757
20 20 3 7543
21 20 3 10295
22 20 2 6574
23 20 3 11450
24 20 3 13014
25 20 5 17175
26 20 5 13768
27 20 4 12141
28 20 7 56306
29 20 4 27468
30 20 5 64073
1 50 1 77
2 50 2 99
3 50 2 135
4 50 3 194
5 50 3 365
6 50 5 357
7 50 4 918
8 50 5 945
9 50 4 1972
10 50 6 3131
11 50 4 5010
12 50 4 4137
13 50 4 6656
14 50 5 13710
15 50 5 14483
16 50 5 16311
17 50 7 26787
18 50 5 31035
19 50 4 27380
20 50 7 66104
21 50 4 30374
22 50 7 208619
23 50 6 183925
24 50 6 125484
25 50 8 294657
26 50 7 100635
27 50 7 171112
28 50 7 134862
29 50 7 212596
30 50 7 352933
1 75 1 87
2 75 2 114
3 75 3 138
4 75 3 152
5 75 4 233
6 75 3 679
7 75 3 1200
8 75 5 856
9 75 4 2520
10 75 6 2814
11 75 5 3013
12 75 3 3615
13 75 5 13221
14 75 5 14530
15 75 5 13374
16 75 5 11397
17 75 6 37274
18 75 5 23425
19 75 6 21818
20 75 5 35271
21 75 6 32777
22 75 6 71863
23 75 5 94771
24 75 9 68548
25 75 9 106597
26 75 9 344655
27 75 7 133985
28 75 8 497317
29 75 7 455335
30 75 8 1247186
1 100 1 101
2 100 2 101
3 100 2 126
4 100 3 272
5 100 3 387
6 100 3 548
7 100 2 1020
8 100 4 2093
9 100 5 1535
10 100 5 2369
11 100 6 4226
12 100 5 9273
13 100 5 7995
14 100 6 21697
15 100 6 21214
16 100 5 13497
17 100 5 31577
18 100 6 17806
19 100 5 53941
20 100 4 27931
21 100 5 36894
22 100 7 172953
23 100 8 96411
24 100 7 160731
25 100 8 132264
26 100 8 217735
27 100 9 593568
28 100 5 224274
29 100 6 340184
30 100 9 737192
1 1000 1 71
2 1000 1 97
3 1000 2 119
4 1000 2 266
5 1000 3 369
6 1000 3 714
7 1000 4 969
8 1000 4 1294
9 1000 3 1742
10 1000 5 3293
11 1000 4 6539
12 1000 6 6690
13 1000 6 12228
14 1000 6 11476
15 1000 5 10655
16 1000 7 20229
17 1000 6 18563
18 1000 6 59937
19 1000 4 24573
20 1000 7 56057
21 1000 7 96543
22 1000 6 62555
23 1000 7 56944
24 1000 7 117263
25 1000 7 136611
26 1000 8 116892
27 1000 7 175281
28 1000 8 253899
29 1000 9 332602
30 1000 6 352034
1 10 0 126
2 10 1 136
3 10 1 168
4 10 1 349
5 10 1 200
6 10 1 328
7 10 2 489
8 10 1 365
9 10 1 321
10 10 1 469
11 10 1 692
12 10 2 1344
13 10 2 1610
14 10 3 1873
15 10 3 1244
16 10 3 5992
17 10 1 1188
18 10 3 2631
19 10 3 3993
20 10 1 4917
21 10 1 4962
22 10 3 17697
23 10 3 10428
24 10 3 8062
25 10 3 5490
26 10 3 11074
27 10 4 13092
28 10 4 19151
29 10 4 27906
30 10 2 10114
1 20 1 254
2 20 2 305
3 20 1 357
4 20 2 524
5 20 2 441
6 20 2 1015
7 20 2 677
8 20 3 2012
9 20 3 2274
10 20 2 2086
11 20 3 2914
12 20 1 4126
13 20 2 3401
14 20 4 5530
15 20 2 7053
16 20 3 5378
17 20 3 10310
18 20 3 10351
19 20 5 13061
20 20 2 2989
21 20 7 33811
22 20 3 11270
23 20 4 8785
24 20 3 16092
25 20 6 44115
26 20 7 19791
27 20 6 41431
28 20 4 10990
29 20 3 11043
30 20 6 50695
1 50 1 63
2 50 2 112
3 50 3 163
4 50 2 257
5 50 3 377
6 50 2 733
7 50 3 840
8 50 3 901
9 50 3 2376
10 50 4 2033
11 50 4 3978
12 50 4 4073
13 50 5 3237
14 50 8 7325
15 50 4 6853
16 50 5 18980
17 50 5 18730
18 50 5 17223
19 50 5 41098
20 50 5 36629
21 50 6 37110
22 50 5 43750
23 50 8 207952
24 50 6 62162
25 50 9 317667
26 50 5 46886
27 50 6 153852
28 50 7 426420
29 50 8 463738
30 50 10 942445
1 75 1 86
2 75 2 117
3 75 2 124
4 75 3 155
5 75 2 488
6 75 3 604
7 75 4 1202
8 75 4 729
