n r res t
11 100 11 1412
12 100 12 1538
13 100 13 1667
14 100 14 1794
15 100 15 1950
16 100 16 1280
17 100 17 2202
18 100 18 2357
19 100 19 2495
20 100 20 1571
21 100 21 2745
22 100 22 2894
23 100 23 3014
24 100 24 3139
25 100 25 2329
26 100 26 3383
27 100 27 3548
28 100 28 3664
29 100 29 3833
30 100 30 3941
10 10 10 1248
10 20 10 1264
11 20 11 1399
12 20 12 1542
13 20 13 1667
14 20 14 1778
15 20 15 1919
16 20 16 2068
17 20 17 2240
18 20 18 2356
19 20 19 2481
20 20 20 2592
10 50 10 1268
11 50 11 1381
12 50 12 1546
13 50 13 1694
14 50 14 1802
15 50 15 1946
16 50 16 2080
17 50 17 2198
18 50 18 2392
19 50 19 2462
20 50 20 2637
21 50 21 2746
22 50 22 2876
23 50 23 2990
24 50 24 3177
25 50 25 3280
26 50 26 3417
27 50 27 3533
28 50 28 3710
29 50 29 3818
30 50 30 3990
10 75 10 1289
11 75 11 1415
12 75 12 1567
13 75 13 1695
14 75 14 1799
15 75 15 1941
16 75 16 2092
17 75 17 2235
18 75 18 2327
19 75 19 2475
20 75 20 2606
21 75 21 2730
22 75 22 2864
23 75 23 2979
24 75 24 3155
25 75 25 3230
26 75 26 3420
27 75 27 3519
28 75 28 3719
29 75 29 3770
30 75 30 2060
10 100 10 1275
11 100 11 903
12 100 12 1568
13 100 13 1259
14 100 14 1812
15 100 15 1935
16 100 16 2095
17 100 17 2209
18 100 18 2353
19 100 19 2470
20 100 20 2597
21 100 21 2759
22 100 22 2921
23 100 23 3027
24 100 24 3152
25 100 25 3296
26 100 26 3432
27 100 27 3489
28 100 28 3644
29 100 29 3816
30 100 30 3979
10 10 10 1290
10 20 10 1297
11 20 11 1439
12 20 12 1546
13 20 13 1676
14 20 14 1829
15 20 15 1933
16 20 16 2100
17 20 17 2243
18 20 18 2347
19 20 19 2491
20 20 20 2644
10 50 10 1309
11 50 11 1410
12 50 12 1547
13 50 13 1683
14 50 14 1816
15 50 15 1945
16 50 16 2106
17 50 17 2167
18 50 18 2358
19 50 19 2472
20 50 20 2627
21 50 21 2743
22 50 22 2873
23 50 23 3007
24 50 24 3141
25 50 25 3253
26 50 26 3435
27 50 27 3545
28 50 28 3662
29 50 29 3793
30 50 30 3909
10 75 10 1295
11 75 11 1425
12 75 12 1543
13 75 13 1644
14 75 14 1823
15 75 15 1953
16 75 16 2084
17 75 17 2230
18 75 18 2342
19 75 19 2469
20 75 20 2597
21 75 21 2721
22 75 22 2881
23 75 23 3004
24 75 24 3188
25 75 25 3252
26 75 26 3443
27 75 27 3567
28 75 28 3687
29 75 29 3806
30 75 30 3930
10 100 10 1293
11 100 11 1407
12 100 12 1519
13 100 13 1675
14 100 14 1816
15 100 15 1949
16 100 16 2082
17 100 17 2263
18 100 18 2342
19 100 19 2492
20 100 20 2592
21 100 21 2774
22 100 22 2892
23 100 23 3053
24 100 24 3144
25 100 25 3228
26 100 26 3340
27 100 27 2186
28 100 28 3637
29 100 29 3817
30 100 30 3926
10 10 10 1271
10 20 10 1322
11 20 11 1407
12 20 12 1553
13 20 13 1685
14 20 14 1771
15 20 15 1918
16 20 16 2107
17 20 17 2202
18 20 18 2371
19 20 19 2466
20 20 20 2602
10 50 10 1282
11 50 11 1422
12 50 12 1563
13 50 13 1676
14 50 14 1802
15 50 15 1946
16 50 16 2107
17 50 17 1727
18 50 18 2383
19 50 19 2512
20 50 20 2615
21 50 21 2717
22 50 22 2873
23 50 23 3014
24 50 24 3211
25 50 25 3298
26 50 26 3414
27 50 27 3542
28 50 28 3657
29 50 29 3812
30 50 30 3893
10 75 10 1291
11 75 11 1425
12 75 12 1453
13 75 13 1688
14 75 14 1785
15 75 15 1952
16 75 16 2072
17 75 17 2218
18 75 18 2300
19 75 19 2469
20 75 20 2613
21 75 21 2751
22 75 22 2923
23 75 23 3011
24 75 24 3100
25 75 25 2640
26 75 26 3406
27 75 27 3517
28 75 28 3646
29 75 29 3816
30 75 30 3962
10 100 10 1285
11 100 11 1420
12 100 12 1525
13 100 13 1686
14 100 14 1804
15 100 15 1959
16 100 16 2096
17 100 17 2209
18 100 18 2364
19 100 19 2458
20 100 20 2638
21 100 21 2749
22 100 22 2863
23 100 23 3043
24 100 24 3160
25 100 25 3299
26 100 26 3395
27 100 27 3525
28 100 28 3679
29 100 29 3841
30 100 30 3973
10 10 10 1280
10 20 10 1272
11 20 11 1425
12 20 12 1542
13 20 13 1683
14 20 14 1798
15 20 15 1944
16 20 16 2075
17 20 17 1572
18 20 18 2361
19 20 19 2500
20 20 20 2618
10 50 10 1239
11 50 11 1439
12 50 12 1557
13 50 13 1694
14 50 14 1811
15 50 15 1933
16 50 16 2094
17 50 17 2200
18 50 18 2388
19 50 19 2519
20 50 20 2610
21 50 21 2747
22 50 22 2869
23 50 23 3019
24 50 24 3145
25 50 25 3292
26 50 26 3441
27 50 27 2979
28 50 28 3694
29 50 29 3855
30 50 30 3940
10 75 10 1290
11 75 11 1405
12 75 12 1509
13 75 13 1689
14 75 14 1806
15 75 15 1945
16 75 16 2076
17 75 17 2222
18 75 18 2377
19 75 19 2486
20 75 20 2643
21 75 21 2752
22 75 22 2865
23 75 23 2998
24 75 24 3107
25 75 25 3300
26 75 26 3401
27 75 27 3564
28 75 28 3659
29 75 29 3770
30 75 30 3928
10 100 10 1294
11 100 11 1433
