test_set n r res t
2 30 50 5 422058
2 1 75 1 231
2 2 75 2 199
2 3 75 3 165
2 4 75 3 436
2 5 75 3 683
2 6 75 4 1020
2 7 75 4 1858
2 8 75 4 2679
2 9 75 3 3187
2 10 75 6 4545
2 11 75 5 7242
2 12 75 5 10902
2 13 75 4 11278
2 14 75 6 21980
2 15 75 5 19435
2 16 75 5 26083
2 17 75 6 22237
2 18 75 5 15340
2 19 75 7 68752
2 20 75 4 36867
2 21 75 5 38393
2 22 75 4 38225
2 23 75 7 175734
2 24 75 6 393195
2 25 75 7 206233
2 26 75 10 831611
2 27 75 6 201417
2 28 75 8 1207387
2 29 75 6 189728
2 30 75 9 1534083
2 1 100 1 110
2 2 100 2 181
2 3 100 2 234
2 4 100 3 399
2 5 100 3 479
2 6 100 5 542
2 7 100 3 1716
2 8 100 3 1546
2 9 100 5 2483
2 10 100 4 3180
2 11 100 4 4188
2 12 100 3 6097
2 13 100 4 6254
2 14 100 4 14640
2 15 100 5 21797
2 16 100 6 33725
2 17 100 6 32094
2 18 100 6 92073
2 19 100 5 12976
2 20 100 7 28591
2 21 100 8 220499
2 22 100 6 64117
2 23 100 6 42386
2 24 100 7 91801
2 25 100 6 179754
2 26 100 7 441129
2 27 100 8 301235
2 28 100 10 895348
2 29 100 7 200714
2 30 100 6 278011
3 1 1 0 1319
3 2 1 0 836
3 3 1 0 910
3 4 1 0 1122
3 5 1 0 1208
3 6 1 0 1328
3 7 1 0 1543
3 8 1 0 1651
3 9 1 1 2686
3 10 1 0 2038
3 11 1 0 2283
3 12 1 0 2076
3 13 1 0 2500
3 14 1 0 2231
3 15 1 1 5794
3 16 1 1 4986
3 17 1 1 5628
3 18 1 0 3629
3 19 1 1 9397
3 20 1 0 4036
3 21 1 1 5317
3 22 1 1 6906
3 23 1 0 4552
3 24 1 1 7845
3 25 1 0 4756
3 26 1 1 9897
3 27 1 1 9673
3 28 1 1 7033
3 29 1 1 5544
3 30 1 1 10494
3 1 10 1 518
3 2 10 1 631
3 3 10 0 847
3 4 10 1 1670
3 5 10 1 1203
3 6 10 1 2350
3 7 10 2 2425
3 8 10 2 3372
3 9 10 3 10958
3 10 10 2 5835
3 11 10 1 3174
3 12 10 3 6589
3 13 10 3 9082
3 14 10 2 8250
3 15 10 2 8819
3 16 10 2 9885
3 17 10 4 17454
3 18 10 4 15735
3 19 10 3 8565
3 20 10 1 8416
3 21 10 2 20089
3 22 10 2 7355
3 23 10 4 22369
3 24 10 4 56721
3 25 10 4 49470
3 26 10 2 30139
3 27 10 2 11689
3 28 10 4 34464
3 29 10 3 71172
3 30 10 4 43857
3 1 20 1 384
3 2 20 2 627
3 3 20 1 997
3 4 20 2 859
3 5 20 2 1149
3 6 20 1 2290
3 7 20 1 1757
3 8 20 2 5565
3 9 20 4 8517
3 10 20 3 13125
3 11 20 3 10194
3 12 20 2 5592
3 13 20 4 26522
3 14 20 3 16001
3 15 20 1 7138
3 16 20 2 10513
3 17 20 4 21616
3 18 20 3 32221
3 19 20 6 82837
3 20 20 4 49456
3 21 20 3 20548
3 22 20 3 54633
3 23 20 4 38104
3 24 20 2 23235
3 25 20 4 66370
3 26 20 7 131235
3 27 20 6 161655
3 28 20 5 40177
3 29 20 4 41057
3 30 20 5 58432
3 1 50 1 179
3 2 50 1 218
3 3 50 2 355
3 4 50 2 716
3 5 50 3 752
3 6 50 2 2070
3 7 50 3 2496
3 8 50 4 3735
