n r res t
10 1 1 394
11 1 0 427
12 1 0 352
13 1 0 525
14 1 1 617
15 1 1 791
16 1 0 438
17 1 1 894
18 1 0 472
19 1 0 504
20 1 1 795
21 1 0 562
22 1 0 606
23 1 1 619
24 1 1 665
25 1 0 647
26 1 1 1488
27 1 0 694
28 1 0 705
29 1 1 1741
30 1 1 1600
1 10 1 102
2 10 1 127
3 10 2 318
4 10 2 263
5 10 1 404
6 10 1 351
7 10 2 423
8 10 2 1285
9 10 1 584
10 10 1 553
11 10 2 660
12 10 1 893
13 10 2 1184
14 10 3 3263
15 10 2 1311
16 10 3 2250
17 10 2 2477
18 10 2 2816
19 10 2 999
20 10 2 3054
21 10 2 2583
22 10 3 3204
23 10 1 2381
24 10 5 9316
25 10 4 6922
26 10 4 8836
27 10 3 6295
28 10 4 12918
29 10 2 3004
30 10 2 3551
1 20 1 66
2 20 0 75
3 20 2 172
4 20 1 303
5 20 1 371
6 20 2 493
7 20 2 585
8 20 2 550
9 20 3 1627
10 20 2 1131
11 20 4 1635
12 20 3 3095
13 20 3 2349
14 20 2 2122
15 20 3 5856
16 20 3 5681
17 20 3 4545
18 20 4 8563
19 20 4 9292
20 20 2 3316
21 20 5 23298
22 20 4 14527
23 20 5 29704
24 20 4 22839
25 20 5 42512
26 20 5 22282
27 20 4 14958
28 20 5 68071
29 20 4 19267
30 20 3 18445
1 50 1 116
2 50 2 181
3 50 1 322
4 50 3 476
5 50 3 536
6 50 5 352
7 50 4 1110
8 50 2 1558
9 50 4 2861
10 50 4 2531
11 50 5 7196
12 50 3 4261
13 50 6 9238
14 50 3 5842
15 50 7 21009
16 50 5 20443
17 50 7 17475
18 50 6 67617
19 50 6 21144
20 50 7 85294
21 50 7 54208
22 50 7 30771
23 50 5 70816
24 50 6 109317
25 50 5 102090
26 50 7 215058
27 50 7 148221
28 50 5 63503
29 50 7 191409
30 50 5 153368
1 75 1 110
2 75 2 318
3 75 2 262
4 75 2 463
5 75 2 732
6 75 5 688
7 75 2 1175
8 75 4 1247
9 75 3 2581
10 75 4 2796
11 75 4 10314
12 75 6 10451
13 75 3 5058
14 75 5 14391
15 75 5 9604
16 75 6 18120
17 75 6 40617
18 75 8 45959
19 75 6 38898
20 75 6 50103
21 75 6 67406
22 75 6 126581
23 75 8 373913
24 75 6 142336
25 75 6 113846
26 75 8 322855
27 75 7 477279
28 75 7 294530
29 75 8 395020
30 75 11 2291946
1 100 1 92
2 100 1 126
3 100 2 135
4 100 2 289
5 100 4 174
6 100 3 633
7 100 5 1343
8 100 4 2416
9 100 4 3666
10 100 5 4155
11 100 6 5753
12 100 4 5214
13 100 4 11598
14 100 4 9883
15 100 4 23953
16 100 6 15988
17 100 6 36046
18 100 6 20035
19 100 8 73076
20 100 6 65966
21 100 8 184200
22 100 6 143616
23 100 7 88818
24 100 6 68725
25 100 7 297655
26 100 5 149896
27 100 5 143102
28 100 8 432205
29 100 7 371966
30 100 7 497948
1 1 0 171
2 1 0 154
3 1 0 132
4 1 0 147
5 1 0 189
6 1 0 193
7 1 0 212
8 1 1 344
9 1 0 235
10 1 0 250
11 1 0 313
12 1 0 334
13 1 0 337
14 1 0 378
15 1 0 410
16 1 1 832
17 1 0 774
18 1 0 819
19 1 0 807
20 1 1 1006
21 1 1 1384
22 1 0 577
23 1 0 933
24 1 1 1100
25 1 0 1066
26 1 0 1075
27 1 0 1152
28 1 0 1169
29 1 0 723
30 1 1 2363
1 10 0 83
2 10 1 171
3 10 1 215
4 10 1 296
5 10 0 195
6 10 2 540
7 10 4 547
8 10 2 724
9 10 1 784
10 10 2 667
11 10 2 1449
12 10 2 1247
13 10 1 1066
14 10 1 486
15 10 3 1232
16 10 4 3877
17 10 3 3347
18 10 3 2671
19 10 3 9873
20 10 2 1893
21 10 2 2861
22 10 1 1484
23 10 2 3213
24 10 2 2779
25 10 4 5705
26 10 4 4908
27 10 2 2876
28 10 5 12602
29 10 2 4703
30 10 3 15527
1 20 1 81
2 20 1 122
3 20 2 237
4 20 2 167
5 20 1 394
6 20 4 717
7 20 3 711
8 20 3 811
9 20 3 609
10 20 4 1125
11 20 2 2030
12 20 2 2096
13 20 2 1445
14 20 3 3646
15 20 3 2261
16 20 4 4517
17 20 5 7323
18 20 3 5773
19 20 3 4032
20 20 5 10163
21 20 2 3996
22 20 5 21896
23 20 3 21682
24 20 4 16625
25 20 6 35051
26 20 4 21887
27 20 5 29658
28 20 5 21245
29 20 5 25624
30 20 6 94286
1 50 1 67
2 50 2 101
3 50 3 170
4 50 3 331
5 50 4 291
6 50 2 970
7 50 3 1168
8 50 5 2307
9 50 4 2191
10 50 6 4397
11 50 5 4215
12 50 3 3226
13 50 5 12771
14 50 5 13156
15 50 5 13306
16 50 4 11030
17 50 5 32891
18 50 5 22561
19 50 6 19345
20 50 5 28786
21 50 6 26525
22 50 6 79349
23 50 5 71319
24 50 9 86650
