test_set n r res t
2 29 50 10 766896
2 30 50 5 428617
2 1 75 1 110
2 2 75 2 242
2 3 75 3 412
2 4 75 3 785
2 5 75 3 924
2 6 75 4 2710
2 7 75 4 3299
2 8 75 4 5588
2 9 75 3 4978
2 10 75 6 18006
2 11 75 5 15429
2 12 75 5 16171
2 13 75 4 16248
2 14 75 6 32643
2 15 75 5 35272
2 16 75 5 50643
2 17 75 6 58130
2 18 75 5 27509
2 19 75 7 175958
2 20 75 4 48647
2 21 75 5 63330
2 22 75 4 47146
2 23 75 7 358388
2 24 75 6 558712
2 25 75 7 335992
2 26 75 10 1873335
2 27 75 6 346938
2 28 75 8 1886414
2 29 75 6 269986
2 30 75 9 2392935
2 1 100 1 79
2 2 100 2 146
2 3 100 2 214
2 4 100 3 479
2 5 100 3 630
2 6 100 5 2263
2 7 100 3 3253
2 8 100 3 3364
2 9 100 5 9001
2 10 100 4 6834
2 11 100 4 9472
2 12 100 3 10469
2 13 100 4 11317
2 14 100 4 20939
2 15 100 5 36496
2 16 100 6 59340
2 17 100 6 49053
2 18 100 6 133283
2 19 100 5 19207
2 20 100 7 62332
2 21 100 8 464088
2 22 100 6 91928
2 23 100 6 76492
2 24 100 7 182681
2 25 100 6 229075
2 26 100 7 693034
2 27 100 8 519615
2 28 100 10 1828206
2 29 100 7 322127
2 30 100 6 373793
3 1 1 0 943
3 2 1 0 510
3 3 1 0 477
3 4 1 0 526
3 5 1 0 859
3 6 1 0 1171
3 7 1 0 1352
3 8 1 0 1544
3 9 1 1 2902
3 10 1 0 1850
3 11 1 0 2006
3 12 1 0 2071
3 13 1 0 2232
3 14 1 0 2668
3 15 1 1 5109
3 16 1 1 4125
3 17 1 1 5151
3 18 1 0 3145
3 19 1 1 7693
3 20 1 0 3379
3 21 1 1 4621
3 22 1 1 7092
3 23 1 0 4045
3 24 1 1 5632
3 25 1 0 3908
3 26 1 1 9513
3 27 1 1 9299
3 28 1 1 5781
3 29 1 1 5823
3 30 1 1 8301
3 1 10 1 498
3 2 10 1 592
3 3 10 0 867
3 4 10 1 1624
3 5 10 1 986
3 6 10 1 2138
3 7 10 2 2298
3 8 10 2 3893
3 9 10 3 11341
3 10 10 2 5464
3 11 10 1 3157
3 12 10 3 7882
3 13 10 3 9712
3 14 10 2 7254
3 15 10 2 11310
3 16 10 2 12622
3 17 10 4 23994
3 18 10 4 23712
3 19 10 3 12514
3 20 10 1 10351
3 21 10 2 23048
3 22 10 2 9339
3 23 10 4 34422
3 24 10 4 81969
3 25 10 4 71104
3 26 10 2 34898
3 27 10 2 13967
3 28 10 4 47049
3 29 10 3 77248
3 30 10 4 46422
3 1 20 1 475
