n r res t
15 50 15 795
16 50 16 802
17 50 17 714
18 50 18 901
19 50 19 1004
20 50 20 1080
21 50 21 1035
22 50 22 1053
23 50 23 692
24 50 24 1142
25 50 25 1178
26 50 26 1291
27 50 27 857
28 50 28 1489
29 50 29 1100
30 50 30 1103
10 75 10 439
11 75 11 445
12 75 12 506
13 75 13 576
14 75 14 758
15 75 15 846
16 75 16 901
17 75 17 735
18 75 18 872
19 75 19 1034
20 75 20 1042
21 75 21 1143
22 75 22 948
23 75 23 1319
24 75 24 1253
25 75 25 1063
26 75 26 1335
27 75 27 1395
28 75 28 1365
29 75 29 1056
30 75 30 1467
10 100 10 565
11 100 11 530
12 100 12 725
13 100 13 901
14 100 14 904
15 100 15 781
16 100 16 929
17 100 17 754
18 100 18 928
19 100 19 1002
20 100 20 971
21 100 21 1119
22 100 22 1193
23 100 23 1163
24 100 24 1248
25 100 25 1415
26 100 26 1601
27 100 27 1543
28 100 28 1379
29 100 29 1423
30 100 30 1671
10 10 10 449
10 20 10 666
11 20 11 675
12 20 12 699
13 20 13 749
14 20 14 805
15 20 15 901
16 20 16 886
17 20 17 801
18 20 18 794
19 20 19 1209
20 20 20 1111
10 50 10 432
11 50 11 693
12 50 12 725
13 50 13 593
14 50 14 609
15 50 15 893
16 50 16 1199
17 50 17 963
18 50 18 982
19 50 19 1148
20 50 20 1108
21 50 21 1225
22 50 22 1115
23 50 23 1219
24 50 24 1029
25 50 25 1326
26 50 26 1116
27 50 27 1363
28 50 28 1565
29 50 29 1574
30 50 30 1496
10 75 10 640
11 75 11 536
12 75 12 699
13 75 13 749
14 75 14 854
15 75 15 868
16 75 16 969
17 75 17 1025
18 75 18 929
19 75 19 860
20 75 20 832
21 75 21 1080
22 75 22 1164
23 75 23 1109
24 75 24 1315
25 75 25 1767
26 75 26 1165
27 75 27 1715
28 75 28 1148
29 75 29 1328
30 75 30 1574
10 100 10 557
11 100 11 641
12 100 12 604
13 100 13 645
14 100 14 732
15 100 15 796
16 100 16 831
17 100 17 770
18 100 18 933
19 100 19 1101
20 100 20 1034
21 100 21 581
22 100 22 750
23 100 23 655
24 100 24 1161
25 100 25 1225
26 100 26 1283
27 100 27 1378
28 100 28 820
29 100 29 1344
30 100 30 884
10 10 10 315
10 20 10 413
11 20 11 330
12 20 12 600
13 20 13 395
14 20 14 672
15 20 15 890
16 20 16 836
17 20 17 739
18 20 18 924
19 20 19 959
20 20 20 972
10 50 10 542
11 50 11 565
12 50 12 352
13 50 13 664
14 50 14 433
15 50 15 439
16 50 16 825
17 50 17 910
18 50 18 525
19 50 19 901
20 50 20 1000
21 50 21 980
22 50 22 1146
23 50 23 1134
24 50 24 1206
25 50 25 685
26 50 26 1258
27 50 27 1318
28 50 28 1286
29 50 29 1373
30 50 30 1215
10 75 10 297
11 75 11 321
12 75 12 369
13 75 13 384
14 75 14 429
15 75 15 426
16 75 16 462
17 75 17 508
18 75 18 534
19 75 19 548
20 75 20 563
21 75 21 573
22 75 22 622
23 75 23 615
24 75 24 642
25 75 25 684
26 75 26 714
27 75 27 715
28 75 28 749
29 75 29 767
30 75 30 799
10 100 10 297
11 100 11 308
12 100 12 370
13 100 13 391
14 100 14 408
15 100 15 427
16 100 16 473
17 100 17 499
18 100 18 581
19 100 19 943
20 100 20 826
21 100 21 578
22 100 22 626
23 100 23 650
24 100 24 684
25 100 25 694
26 100 26 732
27 100 27 724
28 100 28 793
29 100 29 1369
30 100 30 1511
10 10 10 531
10 20 10 487
11 20 11 569
12 20 12 662
13 20 13 403
14 20 14 696
15 20 15 434
16 20 16 837
17 20 17 810
18 20 18 501
19 20 19 888
20 20 20 951
10 50 10 535
11 50 11 334
12 50 12 618
13 50 13 648
14 50 14 663
15 50 15 731
16 50 16 470
17 50 17 515
18 50 18 881
19 50 19 896
20 50 20 590
21 50 21 1108
22 50 22 642
23 50 23 650
24 50 24 670
25 50 25 696
26 50 26 729
27 50 27 757
28 50 28 1329
29 50 29 1476
30 50 30 1491
10 75 10 301
11 75 11 332
12 75 12 621
13 75 13 416
14 75 14 659
15 75 15 776
16 75 16 532
17 75 17 749
18 75 18 502
19 75 19 575
20 75 20 1038
21 75 21 1066
22 75 22 1094
23 75 23 649
24 75 24 1186
25 75 25 712
26 75 26 1067
27 75 27 1288
28 75 28 1386
29 75 29 813
30 75 30 1417
10 100 10 558
11 100 11 556
12 100 12 641
13 100 13 405
14 100 14 417
15 100 15 454
16 100 16 775
17 100 17 551
18 100 18 520
19 100 19 907
20 100 20 568
21 100 21 596
22 100 22 1039
23 100 23 1152
24 100 24 678
25 100 25 1204
26 100 26 1163
27 100 27 1161
28 100 28 1174
29 100 29 1448
30 100 30 859
10 10 10 302
10 20 10 280
11 20 11 366
12 20 12 354
13 20 13 415
14 20 14 416
15 20 15 437
16 20 16 473
17 20 17 480
18 20 18 536
19 20 19 541
20 20 20 613
10 50 10 294
11 50 11 491
12 50 12 349
13 50 13 425
14 50 14 397
15 50 15 489
16 50 16 533
17 50 17 475
18 50 18 534
19 50 19 571
20 50 20 610
21 50 21 578
22 50 22 734
23 50 23 893
24 50 24 802
25 50 25 679
26 50 26 710
27 50 27 777
28 50 28 1027
29 50 29 1051
30 50 30 972
10 75 10 286
11 75 11 344
12 75 12 330
13 75 13 438
14 75 14 425
15 75 15 548
16 75 16 746
17 75 17 870
18 75 18 1090
19 75 19 951
20 75 20 959
21 75 21 1152
22 75 22 1063
23 75 23 1225
24 75 24 1371
25 75 25 1262
26 75 26 1472
27 75 27 1490
28 75 28 1469
29 75 29 1650
30 75 30 1563
10 100 10 515
11 100 11 594
12 100 12 698
13 100 13 707
14 100 14 745
15 100 15 806
16 100 16 939
17 100 17 674
18 100 18 1514
19 100 19 1144
20 100 20 925
21 100 21 1012
22 100 22 1062
23 100 23 1219
24 100 24 1083
25 100 25 1112
26 100 26 1396
27 100 27 1229
28 100 28 1385
29 100 29 1366
30 100 30 1344
