n r res t
22 50 22 87379206
23 50 23 183982910
24 50 24 399355310
25 50 25 739347260
26 50 26 1436178604
27 50 27 2784511722
28 50 28 5546204705
29 50 29 10903465463
30 50 30 22124345302
10 75 10 19754
11 75 11 39720
12 75 12 79103
13 75 13 157978
14 75 14 315647
15 75 15 634959
16 75 16 1939783
17 75 17 2725236
18 75 18 5068360
19 75 19 10144133
20 75 20 22900916
21 75 21 42737398
22 75 22 86106276
23 75 23 166768672
24 75 24 343858800
25 75 25 689252033
26 75 26 1398318362
27 75 27 2684545499
28 75 28 5497336288
29 75 29 10981934978
30 75 30 22015342966
10 100 10 20979
11 100 11 40645
12 100 12 78955
13 100 13 198608
14 100 14 522035
15 100 15 935138
16 100 16 1269615
17 100 17 3763419
18 100 18 6918993
19 100 19 10205723
20 100 20 20531062
21 100 21 41193759
22 100 22 86169141
23 100 23 178747136
24 100 24 368300270
25 100 25 675812848
26 100 26 1346040536
27 100 27 2730197077
28 100 28 5613689875
29 100 29 10946299275
30 100 30 22144945300
10 10 10 19936
10 20 10 25971
11 20 11 39461
12 20 12 83265
13 20 13 157965
14 20 14 315700
15 20 15 647126
16 20 16 1271305
17 20 17 3066551
18 20 18 5235217
19 20 19 11180639
20 20 20 21561035
10 50 10 25780
11 50 11 40183
12 50 12 80046
13 50 13 168211
14 50 14 356343
15 50 15 661164
16 50 16 2067374
17 50 17 2566609
18 50 18 5231173
19 50 19 10457943
20 50 20 21947005
21 50 21 46102509
22 50 22 94845094
23 50 23 180838426
24 50 24 366399729
25 50 25 705899858
26 50 26 1434474586
27 50 27 2809149206
28 50 28 5555672235
29 50 29 10897262435
30 50 30 22702746726
10 75 10 19821
11 75 11 39302
12 75 12 78980
13 75 13 158289
14 75 14 316774
15 75 15 635978
16 75 16 1278071
17 75 17 2542317
18 75 18 5073750
19 75 19 10170469
20 75 20 22603844
21 75 21 47108973
22 75 22 87276841
23 75 23 172527129
24 75 24 347348227
25 75 25 691645771
26 75 26 1360608048
27 75 27 2821186386
28 75 28 5559049490
29 75 29 10831426322
30 75 30 21859250369
10 100 10 20613
11 100 11 39730
12 100 12 80803
13 100 13 157330
14 100 14 314508
15 100 15 633418
16 100 16 1359035
17 100 17 2710183
18 100 18 5169912
19 100 19 11593014
20 100 20 21878361
21 100 21 45490661
22 100 22 83956587
23 100 23 169455799
24 100 24 332846001
25 100 25 673557674
26 100 26 1492864976
27 100 27 2736183364
28 100 28 5492836348
29 100 29 11165014030
30 100 30 21952317603
10 10 10 19706
10 20 10 19657
11 20 11 39627
12 20 12 78965
